Title: * inversor cmos gf180mcud - ac (bode) - version ngspice
Date: Tue Sep  1 15:50:41  2026
Command: ngspice-47, Build Aug 11 2026   13:49:23
Plotname: AC Analysis
Flags: complex
No. Variables: 6
No. Points: 301     
Variables:
	0	frequency	frequency	grid=3
	1	v(vdd)	voltage
	2	v(vin)	voltage
	3	v(vout)	voltage
	4	i(v3)	current
	5	i(v1)	current
Values:
0		1.000000000000000e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.168113906195366e+00,1.756313154159023e-02
	-1.559204487733558e-09,-6.876086471257966e-07
	3.497159800439978e-04,1.866434390610342e-07
1		1.023292992280754e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.168107471854466e+00,1.797217822132434e-02
	-1.632682914299121e-09,-7.036245255086946e-07
	3.497159706340354e-04,1.909908574331045e-07
2		1.047128548050899e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.168100734310152e+00,1.839074916223146e-02
	-1.709623823828720e-09,-7.200134198216926e-07
	3.497159607806713e-04,1.954395487428229e-07
3		1.071519305237606e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.168093679281261e+00,1.881906595116368e-02
	-1.790190354849354e-09,-7.367840157332396e-07
	3.497159504629568e-04,1.999918722502884e-07
4		1.096478196143185e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.168086291803443e+00,1.925735531750476e-02
	-1.874553330179097e-09,-7.539452010122921e-07
	3.497159396590880e-04,2.046502421978631e-07
5		1.122018454301963e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.168078556214718e+00,1.970584925190755e-02
	-1.962891618701308e-09,-7.715060702221869e-07
	3.497159283461437e-04,2.094171290944539e-07
6		1.148153621496883e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.168070456122312e+00,2.016478512742242e-02
	-2.055392514124742e-09,-7.894759295211928e-07
	3.497159165000361e-04,2.142950610282547e-07
7		1.174897554939529e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.168061974340362e+00,2.063440582283108e-02
	-2.152252131498101e-09,-8.078643015708379e-07
	3.497159040958073e-04,2.192866250072728e-07
8		1.202264434617413e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.168053092894917e+00,2.111495984999963e-02
	-2.253675822493137e-09,-8.266809305643430e-07
	3.497158911070554e-04,2.243944683384372e-07
9		1.230268770812381e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.168043792954854e+00,2.160670148275716e-02
	-2.359878610072863e-09,-8.459357873634341e-07
	3.497158775062692e-04,2.296213000314244e-07
10		1.258925411794167e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.168034054802364e+00,2.210989088940801e-02
	-2.471085643666605e-09,-8.656390747576065e-07
	3.497158632646404e-04,2.349698922397082e-07
11		1.288249551693134e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.168023857801566e+00,2.262479426821894e-02
	-2.587532675740272e-09,-8.858012328444831e-07
	3.497158483518708e-04,2.404430817355057e-07
12		1.318256738556407e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.168013180323801e+00,2.315168398507662e-02
	-2.709466560663614e-09,-9.064329445291408e-07
	3.497158327365010e-04,2.460437714144797e-07
13		1.348962882591653e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.168001999739796e+00,2.369083871559817e-02
	-2.837145777173829e-09,-9.275451411576014e-07
	3.497158163853643e-04,2.517749318437392e-07
14		1.380384264602884e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.167990292351110e+00,2.424254358919426e-02
	-2.970840975245496e-09,-9.491490082729857e-07
	3.497157992637777e-04,2.576396028393197e-07
15		1.412537544622754e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.167978033346874e+00,2.480709033687760e-02
	-3.110835548710203e-09,-9.712559915068838e-07
	3.497157813353816e-04,2.636408950839191e-07
16		1.445439770745927e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.167965196727191e+00,2.538477744162932e-02
	-3.257426234678442e-09,-9.938778026018985e-07
	3.497157625623679e-04,2.697819917786169e-07
17		1.479108388168207e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.167951755286073e+00,2.597591029345656e-02
	-3.410923741279314e-09,-1.017026425579926e-06
	3.497157429049202e-04,2.760661503413449e-07
18		1.513561248436208e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.167937680557356e+00,2.658080134711584e-02
	-3.571653404782409e-09,-1.040714123047550e-06
	3.497157223210867e-04,2.824967041410743e-07
19		1.548816618912481e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.167922942688994e+00,2.719977028159334e-02
	-3.739955877331223e-09,-1.064953442636225e-06
	3.497157007675188e-04,2.890770642631065e-07
20		1.584893192461113e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.167907510445461e+00,2.783314416615868e-02
	-3.916187847360470e-09,-1.089757223606986e-06
	3.497156781985509e-04,2.958107213336584e-07
21		1.621810097358929e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.167891351141734e+00,2.848125762851798e-02
	-4.100722793619849e-09,-1.115138603597554e-06
	3.497156545661059e-04,3.027012473787560e-07
22		1.659586907437560e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.167874430505257e+00,2.914445302478240e-02
	-4.293951774298572e-09,-1.141111025513162e-06
	3.497156298204623e-04,3.097522977164639e-07
23		1.698243652461743e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.167856712703504e+00,2.982308061743065e-02
	-4.496284253779520e-09,-1.167688244598661e-06
	3.497156039088875e-04,3.169676129185194e-07
24		1.737800828749374e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.167838160185540e+00,3.051749875235473e-02
	-4.708148967467986e-09,-1.194884335645113e-06
	3.497155767765713e-04,3.243510207910459e-07
25		1.778279410038922e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.167818733644053e+00,3.122807404291874e-02
	-4.929994827629866e-09,-1.222713700378349e-06
	3.497155483659865e-04,3.319064384205005e-07
26		1.819700858609982e+07,1.099168575495125e-311
	0.000000000000000e+00,0.000000000000000e+00
	1.000000000000000e+00,0.000000000000000e+00
	-2.167798391911674e+00,3.195518155626528e-02
	-5.162291871427236e-09,-1.251191075006000e-06
